药名,性味,功效,临床应用
党参,甘，平，脾肺,补中益气，生津， 养血,1、用于中气不足的食少便溏、四肢倦怠等证2、用于肺气亏虚的气短咳喘、言语无力、声音低弱等证3、用于热伤气津，气短口渴之证4、用于气血两亏的面色萎黄，头晕心悸等证
太子参,甘、微苦，平，脾肺,补气生津,1、用于脾气虚弱、胃阴不足的食少倦怠2、用于气虚津伤的肺虚燥咳及心悸不眠、虚热汗多
黄芪,甘，微温，脾肺,补气升阳，益卫固表，利水消肿，托疮生肌,1、用于脾胃气虚及中气下陷诸证2、用于肺气虚及表虚自汗，气虚外感诸证3、用于气虚水湿失运的浮肿，小便不利4、用于气血不足，疮疡内陷的脓成不溃或溃久不敛5、用于气虚血亏的面色萎黄、神倦脉虚等6、用于气虚不能摄血的便血、崩漏等7、用于气虚血滞不行的关节痹痛、肢体麻木或半身不遂等8、用于气虚津亏的消渴证
白术,苦、甘，温，脾胃,补气健脾，燥湿利水，固表止汗，安胎,1、用于脾胃气虚、运化无力的食少便溏、脘腹胀满、肢软神疲等证2、用于脾虚失运，水湿内停之痰饮，水肿，小便不利等3、用于脾虚气弱，肌表不固而自汗4、用于脾虚气弱，胎动不安之证
山药,甘，平，脾肺肾,益气养阴，补脾肺肾，固精止遗,1、用于脾胃虚弱证2、用于肺肾虚弱证3、用于阴虚内热，口渴多饮，小便频数的消渴证
刺五加,辛、微苦，温，脾肺肾,健脾益气，补肾强腰，养心安神，化痰平喘,1、用于脾肺气虚证2、用于肾虚腰膝酸软证3、用于心脾两虚证
绞股蓝,苦肝寒，脾肺,健脾益气，化痰止咳，清热解毒,1.脾虚之多种兼夹证候，2.痰浊阻肺证，3.热毒证。
红景天,甘涩寒，脾肺,健脾益气，清肺止咳，活血化瘀,1.脾气虚证，2.肺热证，3.血瘀证
白扁豆,甘，微温，脾胃,健脾化湿，和中消暑，解毒,1、用于脾虚湿盛、运化失常之食少便溏或泄泻及脾虚而湿浊下注之白带过多等证2、用于暑湿吐泻3、用于食物中毒
甘草,甘，平，心肺脾胃,益气补中，清热解毒，祛痰止咳，缓急止痛，调和药性,1、用于心气不足的心动悸，脉结代，与脾气虚弱的倦怠乏力，食少便溏等2、用于痰多咳嗽3、用于脘腹及四肢挛急作痛4、用于药性峻猛的方剂中5、用于热毒疮疡，咽喉肿痛及药物、食物中毒等
大枣,甘，温，脾胃,补中益气，养血安神，缓和药性,1、用于脾虚食少便溏，倦怠乏力等证2、用于血虚萎黄及妇女脏燥，神志不安等证3、用于药性较峻烈的方剂中，可以减少烈性药的副作用，并保护正气
饴糖,甘，温，脾胃肺,益气补中，缓急止痛，润肺止咳,1、用于中虚里急，脘腹疼痛2、用于肺虚干咳少痰
蜂蜜,甘，平，脾大肠,补中缓急，润燥，解毒,1、用于中虚脘腹疼痛2、用于肺虚燥咳及肠燥便秘3、用于乌头类毒药之解毒
鹿茸,甘、咸，温，肾肝,壮肾阳，益精血，强筋骨，调冲任，固带脉，托疮毒,1、用于肾阳不足，精血亏虚的阳痿早泄，宫寒不孕，尿频不禁，头晕耳鸣，腰膝酸痛，肢冷神疲等证2、用于肝肾不足的筋骨痿软，小儿发育不良，囟门过期不合，齿迟，行迟等3、用于冲任虚寒，带脉不固的崩漏不止，带下过多4、用于疮疡久溃不敛，脓出清稀，或阴疽内陷不起
巴戟天,甘、辛，微温，肾肝,壮肾阳，益精血，强筋骨，祛风湿,1、用于肾阳虚弱的阳痿，不孕，月经不调，少腹冷痛等证2、用于肝肾不足的筋骨痿软，腰膝疼痛，或风湿久痹，步履艰难
淫羊藿,辛、甘，温，肝肾,温肾壮阳，强筋骨，祛风湿,1、用于肾阳虚的阳痿，不孕及尿频等证2、用于肝肾不足的筋骨痹痛，风湿拘挛麻木等证
仙茅,辛，热；有毒，肾肝脾,温肾壮阳，强筋骨，祛风湿，温脾止泻,1、用于肾阳不足，命门火衰的阳痿精冷、遗尿尿频2、用于肾虚腰膝痿软、筋骨冷痛，或寒湿久痹3、用于脾肾阳虚的脘腹冷痛，泄泻等
补骨脂,辛、苦，温，肾脾,补肾助阳，固精缩尿，暖脾止泻，纳气平喘,1、用于肾阳不足，命门火衰之腰膝冷痛，阳痿，遗精，尿频等证2、用于脾肾阳虚泄泻3、用于肾不纳气的虚喘
益智,辛，温，肾脾,补肾助阳，固精缩尿，温脾止泻，开胃摄唾,1、用于肾气虚寒之遗精滑精，遗尿尿频等2、用于脾寒泄泻，腹中冷痛，口多涎唾等
海狗肾,咸热，肾,暖肾壮阳，益精补髓,主要用于肾阳衰惫的阳痿精冷，腰膝酸软，及精少不育。
雄蚕蛾,咸温，肝肾,补肾助阳，固精止遗，止血生肌。,1.肾阳不足，肾气不固之阳痿，遗精及不育不孕，2.金疮，疮痈。
海马,甘咸温，肾肝,补肾壮阳，活血散结，消肿止痛,1.肾阳虚衰的阳痿精少，遗尿，尿频，2.癥瘕积聚及跌打损伤。3.内服治疗肾虚作喘，外用阴疽疮肿，外伤出血。
肉苁蓉,甘、咸，温，肾大肠,补肾阳，益精血，润肠通便,1、用于肾阳不足，精血亏虚的阳痿，不孕，腰膝酸软，筋骨无力2、用于肠燥便秘
锁阳,甘温，肝肾大肠,补肾阳，益精血，润肠通便,1.肾阳虚衰的阳痿，不孕，腰膝痿软，2.精血津液亏耗的肠燥便秘。
冬虫夏草,甘，平，肺肾,益肾壮阳，补肺平喘，止血化痰,1、用于肾虚腰痛，阳痿遗精2、用于肺虚或肺肾两虚之久咳虚喘，劳嗽痰血
紫河车,甘、咸，温，心肺肾,温肾补精，益气养血,1、用于肾气不足，精血亏虚的不孕，阳痿，遗精，腰酸，头晕，耳鸣等证2、用于肺肾两虚的喘嗽3、用于气血不足，萎黄消瘦，产后少乳等
蛤蚧,咸，平，肺肾,助肾阳，益精血，补肺气，定喘嗽,1、用于肾阳不足，精血亏虚的阳痿2、用于肺肾两虚，肾不纳气的虚喘久嗽
菟丝子,甘，温，肝肾脾,补肾固精，养肝明目，止泻，安胎,1、用于肾虚腰痛，阳痿遗精，尿频，带下等证2、用于肝肾不足，目失所养而致目昏目暗，视力减退之证3、用于脾肾虚泄4、用于肝肾不足的胎动不安
沙苑子,甘，温，肝肾,补肾固精，养肝明目,1、用于肾虚阳痿，遗精早泄，小便遗沥，白带过多及腰痛等2、用于肝肾不足的眩晕目昏
杜仲,甘，温，肝肾,补肝肾，强筋骨，安胎,1、用于肝肾不足的腰膝酸痛，下肢痿软及阳痿，尿频等证2、用于肝肾亏虚，下元虚冷的妊娠下血，胎动不安，或习惯性流产等
续断,苦、甘、辛，微温，肝肾,补肝肾，强筋骨，止血安胎，疗伤续折,1、用于肝肾不足，腰痛脚弱，风湿痹痛，及跌打损伤，骨折，肿痛等证2、用于肝肾虚弱，冲任失调的胎动欲坠或崩漏经多等
韭菜子,辛、甘，温，肾肝,温补肝肾，壮阳固精,1、用于肾阳虚弱阳痿遗精，遗尿尿频，白带过多等证2、用于肝肾不足的腰膝酸软冷痛
阳起石,咸温，肾,温肾壮阳,肾阳虚的阳痿，宫冷，腰膝冷痹。
核桃仁,甘，温，肾肺大肠,补肾益肺，纳气定喘，润肠通便,1、用于肺肾两虚的喘咳证2、用于肾阳不足的腰膝酸痛，遗精尿频3、用于肠燥便秘
葫芦巴,苦温，肝肾,温肾助阳，祛寒止痛,1.肾阳虚衰之阳痿，滑泄，2.肾阳不足，寒湿凝滞下焦的疝痛，经寒腹痛及寒湿脚气等。
当归,甘、辛，温，肝心脾,补血，活血，调经，止痛，润肠,1、用于血虚诸证2、用于血虚或血虚而兼有瘀滞的月经不调，痛经，经闭等证3、用于血虚，血滞或寒滞，以及跌打损伤，风湿痹阻的疼痛证4、用于痈疽疮痈5、用于血虚肠燥便秘
熟地黄,甘，微温，肝肾,补血滋阴，益精填髓,1、用于血虚萎黄，眩晕，心悸失眠，月经不调，崩漏等证2、用于肾阴不足的潮热骨蒸、盗汗、遗精、消渴等3、用于肝肾精血亏虚的腰膝酸软，眩晕耳鸣，须发早白等
白芍,苦、酸、甘，微寒，肝脾,养血调经，平肝止痛，敛阴止汗,1、用于血虚或阴虚有热的月经不调，崩漏等证2、用于肝阴不足，肝气不舒或肝阳偏亢的头痛、眩晕、胁肋疼痛、脘腹四肢拘挛作痛等证3、用于阴虚盗汗，及营卫不和的表虚自汗证
制何首乌,甘、涩，微温 肝肾,补益精血，固肾乌须,1、用于血虚而见头晕目眩，心悸失眠，萎黄乏力，及肝肾精血亏虚的眩晕耳鸣，腰膝酸软，遗精崩带，须发早白等证2、用于体虚久疟，肠燥便秘及痈疽瘰疬等证
生何首乌,甘、苦，平，心肝大肠,截虐，解毒，润肠通便,1、用于血虚而见头晕目眩，心悸失眠，萎黄乏力，及肝肾精血亏虚的眩晕耳鸣，腰膝酸软，遗精崩带，须发早白等证2、用于体虚久疟，肠燥便秘及痈疽瘰疬等证
阿胶,甘，平，肺肝肾,补血，止血，滋阴润燥,1、用于血虚萎黄，眩晕，心悸等2、用于多种出血证3、用于阴虚证及燥证
龙眼肉,甘，温，心脾,补益心脾，养血安神,用于心脾虚损，心血不足的心悸、失眠、健忘等
北沙参,甘、微苦，微寒，肺胃,养阴清肺，益胃生津,1、用于肺阴虚的肺热燥咳，干咳少痰，或痨嗽久咳，咽干音哑等2、用于胃阴虚或热伤胃阴，津液不足的口渴咽干、舌质红绛，或胃脘隐痛、嘈杂、干呕等
南沙参,甘，微寒，肺胃,养阴清肺，祛痰，益气,1、用于肺阴虚的燥热咳嗽，见干咳少痰，或痰粘不易咯出者2、用于热病后气津不足或脾胃虚弱，而见咽干口燥，舌红少津，食少不饥者
麦冬,甘、微苦，微寒，心肺胃,养阴润肺，益胃生津，清心除烦,1、用于肺阴不足，而有燥热的干咳痰粘、劳嗽咳血等2、用于胃阴虚或热伤胃阴，口渴咽干，大便燥结等3、用于心阴虚及温病热邪扰及心营，心烦不眠，舌绛而干等
天冬,甘、苦，寒，肺肾,养阴润燥，清火， 生津,1、用于阴虚肺热的燥咳或劳嗽咯血2、用于肾阴不足，阴虚火旺的潮热盗汗、遗精，内热消渴，肠燥便秘等证
百合,甘，微寒，肺心,养阴润肺止咳，清心安神,1、用于肺阴虚的燥热咳嗽及劳嗽久咳，痰中带血等2、用于热病余热未清之虚烦惊悸，失眠多梦等
石斛,甘，微寒，胃肾,养阴清热，益胃生津,1、用于热病伤津之低热烦渴、阴虚虚热不退等证2、用于胃阴不足等证
玉竹,甘微寒，肺胃,养阴润燥，生津止渴,1、用于阴虚肺燥的干咳少痰2、用于热病烦渴及消渴等
黄精,甘，平，脾肺肾,滋肾润肺，补脾益气,1、用于肺燥干咳少痰、阴虚劳嗽久咳等2、用于脾胃虚弱证3、用于肾虚精亏的头晕，腰膝酸软，须发早白及消渴等
枸杞子,甘，平，肝肾,补肝肾，明目，润肺,1、用于肝肾不足的腰酸遗精，及头晕目眩，视力减退，内障目昏，消渴等2、用于阴虚劳嗽
桑椹,甘，寒，肝肾,滋阴补血，生津，润肠,1、用于阴血亏虚的头晕耳鸣，目暗昏花，失眠，须发早白，遗精等2、用于津伤口渴，内热消渴及肠燥便秘等
银耳,甘，平，肺胃,滋阴润肺，养胃生津,1、用于阴虚肺燥或虚劳久咳，干咳痰少，痰中带血等2、用于热病伤津或素体虚弱，胃阴不足，口渴咽干等
墨旱莲,甘酸寒，肝肾,补肝肾阴，凉血止血,1.肝肾阴虚的头晕目眩，须发早白，腰膝酸软，遗精耳鸣，2.阴虚血热的咯血，衄血，便血，尿血，崩漏。
女贞子,甘苦凉，肝肾,补肝肾阴，乌须明目,肝肾阴虚的目暗不明，视力减退，须发早白，腰酸耳鸣及阴虚发热。
黑芝麻,甘，平，肝肾大肠,补肝肾，益精血，润肠燥,1、用于肝肾精血不足的头晕眼花，须发早白等2、用于血虚津亏的肠燥便秘
龟甲,甘、咸，寒，肝肾心,滋阴潜阳，益肾健骨，固经止血，养血补心,1、用于阴虚内热，阴虚阳亢及热病阴虚风动等证2、用于肾虚骨痿，小儿囟门不合等证3、用治阴虚血热，冲任不固的崩漏、月经过多等4、用于心虚惊悸，失眠，健忘
鳖甲,咸，寒，肝肾,滋阴潜阳，软坚散结,1、用于阴虚发热，阴虚阳亢，阴虚风动等证2、用于癥瘕积聚，疟母等
麻黄根,甘，平，肺,收敛止汗,用于自汗，盗汗
浮小麦,甘，凉，心,止汗，益气，除热,1、用于自汗，盗汗2、用于骨蒸劳热
糯稻根须,甘，平，心肝肺,止汗退热，益胃生津,1、用于自汗，盗汗2、用于虚热不退，骨蒸潮热
五味子,酸、甘，温，肺肾心,敛肺滋肾，生津敛汗，涩精止泻，宁心安神,1、用于久咳虚喘2、用于津伤口渴，消渴3、用于自汗，盗汗4、用于遗精，滑精5、用于久泻不止6、用于心悸，失眠，多梦
乌梅,酸、涩，平，肝脾肺大肠,敛肺止咳，涩肠止泻，生津止渴，安蛔止痛,1、用于肺虚久咳2、用于久泻久痢3、用于虚热消渴4、用于蛔厥腹痛，呕吐
五倍子,酸、涩，寒，肺大肠肾,敛肺降火，涩肠止泻，固精止遗，敛汗止血,1、用于肺虚久咳，肺热咳嗽2、用于久泻，久痢3、用于遗精，滑精4、用于自汗，盗汗5、用于崩漏下血，便血，尿血等出血证
诃子,苦、酸、涩，平，肺大肠,涩肠止泻，敛肺止咳，利咽开音,1、用于久泻，久痢，脱肛2、用于肺虚久咳或久咳失音
石榴皮,酸涩温，大肠,涩肠止泻，杀虫。,1.久泻，久痢，脱肛，2.虫积腹痛，3.涩精，止血，止带。
肉豆蔻,辛温，脾胃大肠,涩肠止泻，温中行气,1、用于久泻，久痢2、用于胃寒胀痛，食少呕吐
赤石脂,甘酸涩温，大肠胃,涩肠止泻，收敛止血，敛疮生肌,1.久泻久痢。2.崩漏，带下，便血，3.疮疡不敛，湿疹，湿疮。
禹余粮,甘涩平，胃大肠,涩肠止泻，收敛止血。止带,久泻久痢。崩漏，带下。
山茱萸,酸，涩，微温，肝肾,补益肝肾，收敛固涩,1、用于肝肾亏虚之头晕目眩，腰膝酸软，阳痿等证2、用于遗精滑精，遗尿尿频3、用于崩漏下血，月经过多4、用于大汗不止，体虚欲脱证
覆盆子,甘、酸，微温，肝肾,固精缩尿，益肾养肝,1、用于肾虚不固之遗精滑精，遗尿尿频2、用于肝肾不足，目暗不明
桑螵蛸,甘咸，平，肝肾,固精缩尿，补肾助阳,1、用于遗精滑精，遗尿尿频2、用于肾虚阳痿
金樱子,酸涩平，肾膀胱大肠,固精缩尿，涩肠止泻,1.遗精滑精，遗尿尿频，白带过多，2.久泻久痢。
莲子,甘、涩，平，脾肾心,补脾止泻，固涩止带，益肾固精，养心安神,1、用于脾虚泄泻，食欲不振2、用于肾虚遗精，滑精3、用于带下证4、用于虚烦，失眠，惊悸
芡实,甘、涩，平，脾肾,补脾止泻，益肾固精，除湿止带,1、用于脾虚止泻2、用于肾虚遗精滑精，遗尿，白浊3、用于带下证
海螵蛸,咸、涩，微温，肝肾,固精止带，收敛止血，制酸止痛，收湿敛疮,1、用于遗精，带下2、用于崩漏下血，肺胃出血，创伤出血3、用于胃痛吐酸4、湿疮，湿疹，溃疡不敛
常山,苦、辛，寒；有毒，肺心肝,涌吐痰涎，截疟,1、用于胸中痰饮2、用于疟疾
瓜蒂,苦，寒；有毒，胃,涌吐痰湿，祛湿退黄,1、用于痰热壅滞，宿食停滞证2、用于湿热黄疸，湿家头痛
胆矾,酸、涩、辛，寒；有毒，肝胆,涌吐痰涎，解毒收湿，祛腐蚀疮,1、用于风痰壅盛，喉痹，癫痫，误食毒物2、用于风眼赤烂，口疮，牙疳3、用于肿毒不溃，胬肉疼痛
藜芦,辛、苦，寒；有毒，肺胃肝,涌吐风痰，杀虫疗疮,1、用于中风，癫痫，喉痹2、用于疥癣秃疮
雄黄,辛温有毒，心肝胃,解毒，杀虫,1、用于痈肿疔疮，湿疹，疥癣，虫蛇咬伤2、用于虫积腹痛
硫黄,酸，温；有毒，肾大肠,外用解毒杀虫止痒；内服补火壮阳通便,1、用于疥癣，湿疹，皮肤瘙痒2、用于肾虚寒喘，阳痿，虚冷便秘
蛇床子,辛、苦，温，肾,杀虫止痒，祛风燥湿，温肾壮阳,1、用于阴部湿痒，湿疹，疥癣2、用于寒湿带下，湿痹腰痛3、用于阳痿，宫冷不孕
蜂房,甘，平，肝胃,攻毒杀虫，祛风止痒，祛风止痛,1、用于痈疽，瘰疬，癣疮2、用于风湿痹痛，瘾疹瘙痒，牙痛
大蒜,辛，温，脾胃肺,解毒杀虫，消肿，止痢,1、用于痈肿疮毒，疥癣2、用于肺痨，百日咳，泻痢3、用于钩虫，蛲虫证
樟脑,辛热；有毒，心脾,外用除湿杀虫，温散止痛；内服开窍辟秽,1、用于疥癣，湿疮2、用于牙痛，跌打损伤3、用于痧胀腹痛，吐泻，神昏
炉甘石,甘，平，肝胃,解毒明目退翳，收湿生肌敛疮,1、用于目赤翳障，烂弦风眼2、用于溃疡不敛，皮肤湿疮
升药,辛，热；有大毒,拔毒化腐,用于痈疽溃后
轻粉,辛，寒；有大毒,外用攻毒，杀虫，敛疮；内服利水通便,1、用于疥癣，梅毒，疮痈溃烂2、用于水肿臌胀，二便不利
砒石,辛，热；有大毒,外用蚀疮去腐；内服截疟，劫痰平喘,1、用于瘰疬，疥癣，牙疳，痔疮，溃疡腐肉不脱2、用于寒痰哮喘3、用于疟疾
